id,protest,verbPhrases,withAdverb,negatedVerb,nounPhrases,withAdj,negatedNoun
1,1,39,3,5,69,9,4
2,1,48,16,15,49,0,0
3,1,56,16,5,70,10,0
4,1,114,21,12,205,26,4
5,1,61,15,2,82,21,0
6,1,44,7,0,64,11,3
7,1,103,13,7,192,34,5
8,1,51,5,2,85,4,0
9,1,37,9,1,54,2,0
10,1,23,0,9,43,6,0
11,1,18,3,4,35,2,0
12,1,42,17,8,51,4,0
13,1,34,9,3,54,15,0
14,1,10,2,0,25,14,0
15,1,54,12,2,87,18,0
16,1,25,9,0,64,0,0
17,1,27,14,4,51,0,0
18,1,50,2,2,117,5,5
19,1,71,3,5,106,6,2
20,1,28,1,4,58,7,10
21,1,24,3,1,73,2,1
22,1,32,10,1,51,11,0
23,1,117,21,8,233,35,2
24,1,21,1,0,49,15,0
25,1,33,3,0,45,3,0
26,1,27,5,3,44,13,3
27,1,22,9,3,37,2,0
28,1,36,3,1,38,2,0
29,1,13,5,0,18,2,0
30,1,21,2,4,26,4,0
31,0,40,7,3,55,2,2
32,0,62,11,6,82,2,0
33,0,39,15,2,46,5,0
34,0,54,5,6,101,11,0
35,0,53,12,2,75,8,2
36,0,34,3,2,49,1,0
37,0,23,1,0,28,5,0
38,0,34,2,1,37,3,1
39,0,18,5,1,67,6,1
40,0,42,6,4,65,9,0
41,0,44,4,6,36,0,0
42,0,15,8,0,45,9,0
43,0,18,5,0,28,1,0
44,0,20,10,1,32,5,1
45,0,10,2,0,17,6,1
46,0,52,22,6,79,8,1
47,0,48,6,7,82,7,3
48,0,12,5,0,22,4,0
49,0,42,5,8,55,4,0
50,0,28,6,0,47,3,1
51,0,42,15,5,58,3,0
52,0,27,6,0,36,6,0
53,0,64,8,0,123,19,1
54,0,51,4,10,86,5,3
55,0,33,3,0,64,3,2
56,0,54,15,6,85,2,1
57,0,23,2,1,32,4,0
58,0,23,1,1,35,0,0
59,0,42,15,2,34,5,0
60,0,62,26,9,125,11,2
